reviewId,providerId,name,type,region,city,reviewCategory,batchKey,claimField,claimValue,claimRiskLevel,claimConfidence,claimScore,claimDecision,sourceType,sourceOwnerType,sourceUrls,auditRules,claimReason,requiredHumanAction,reviewPriority
claim:62fd84b8dc49547875454308,bay-of-plenty-adult-community-mental-health,Adult Community Mental Health Service | Bay of Plenty,public-service,Bay of Plenty,Tauranga and Whakatane,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/public/psychiatry/adult-community-mental-health-service-bay/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:13611fb823089839329721dc,southland-southern-adult-community-mental-health,Adult Community Mental Health Services | Southern Southland,public-service,Southland,"Invercargill, Gore, and Wakatipu",referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/public/psychiatry/adult-community-mental-health-services-southern/at/southland-hospital-invercargill/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:eff83202c404677fd9454f42,west-coast-adult-community-mental-health,Adult Community Mental Health Services | West Coast,public-service,West Coast,"Greymouth, Hokitika, and Westport",referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/adult-community-mental-health-services-west/at/te-nikau-grey-hospital/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:19481d25714614a60f316028,bay-of-plenty-ancora-adult-adhd-psychiatry,AncorA Adult ADHD Clinic,psychiatrist,Bay of Plenty,Tauranga and nationwide telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.ancora.org.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:a4e8f43e79582b4593a474c5,bay-of-plenty-ancora-adult-adhd-psychiatry,AncorA Adult ADHD Clinic,psychiatrist,Bay of Plenty,Tauranga and nationwide telehealth,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.ancora.org.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:d19966209089d20d6b91965f,bay-of-plenty-anteris-private-psychiatry,Anteris Private Psychiatry,psychiatrist,Bay of Plenty,"Tauranga, Hamilton, and online",referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,true,high,high,1,review,provider_owned,provider_owned,https://www.anteris.nz/service-private-psychiatry,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:d2804b6026901f071e8618f3,bay-of-plenty-anteris-private-psychiatry,Anteris Private Psychiatry,psychiatrist,Bay of Plenty,"Tauranga, Hamilton, and online",referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,gp,high,high,1,review,provider_owned,provider_owned,https://www.anteris.nz/service-private-psychiatry,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:32169c07e894af8bc614a013,waikato-be-well-psychiatry,Be Well Psychiatry,psychiatrist,Waikato,Maungatautari,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.bewellpsychiatry0.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:0227fd7f874b9e77c246c943,waikato-be-well-psychiatry,Be Well Psychiatry,psychiatrist,Waikato,Maungatautari,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.bewellpsychiatry0.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:3ac034c56e305d86ec672087,west-coast-camhs,Child and Adolescent Mental Health Services | West Coast,youth,West Coast,Greymouth and wider West Coast,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/child-and-adolescent-mental-health-services-1/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
